ACTION_HAPPENING,I can't do two things at once...,Nie możesz robić dwóch rzeczy jednocześnie...
ADD_TO_BLUEPRINT,Add {0} to {1},Dodaj: {0} Do: {1}
BY_AUTHOR,By {0},{0}
AVAILABLE,Available,Dostępne
BLUEPRINT_FULL,{1} already has enough of {0},{1} ma już wystarczająco: {0}
BLUEPRINT_RESEARCH_TAB,Research,Badania
BLUEPRINT_SHOP,Shop,Sklep
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,Odkryto nowy schemat!
BOOKMARK_NOT_FOUND,There is no {0} here,Nie znaleziono: {0}
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0} ({1})
BUILD,Build,Buduj
BUILT,Built,Zbudowano
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,Gratulacje przeżycia {0} dni!
CANCEL,Cancel,Anuluj
CANNOT_AFFORD,Not enough {0} to buy this...,Nie stać cię na ten zakup. Brakuje: {0}
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},Nie możesz założyć więcej niż {0}: {1}
CANNOT_EQUIP_PINS,Pins cannot be equipped!,Przypinki nie służą do zakładania!
CANNOT_INSPECT,Take item out of container to inspect.,"Wyjmij przedmiot z pojemnika, aby mu się przyjrzeć."
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,Nie możesz tutaj zrobić: {0}
CHARACTER,Character,Postać
CHARACTER_CREATOR,Create New Character,Stwórz nową postać
CLEAR_CARD_FILTERS,Clear Filters,Wyczyść filtry
CONFIRM,Confirm,OK
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),Obecnie badasz: {0}\nZmienić cel badań na: {1}?\n(Zachowasz postęp badań nad: {0})
COOKING_TIME_TEXT,Ready in {0},Gotowe za: {0}
CURRENT_STATUS,Current Status,Stan i efekty
CUSTOM_CHARACTERS,Custom Characters,Własne postacie
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,Domyślna rozdzielczość portretów to 344x446\nZapisano {0}/{1} portretów
DAMAGES,Damages,Uszkodzenia
DAY_COUNTER,Day {0},Dzień {0}
FORMAT_DAYS,0D,0d
DAYS_SURVIVED,I survived for {0} days.,Udało ci się przeżyć {0} dni.
DEFAULT,Default,Domyślne
DEFAULT_CHARACTER,Default Character,Domyślna postać
COOKING_SLOT,DRAG ITEMS HERE TO COOK,PRZECIĄGNIJ TUTAJ PRZEDMIOTY DO UGOTOWANIA
EMPTY_RECIPE_SLOT,COME BACK LATER,WRÓĆ PÓŹNIEJ
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0} zbliża się do ciebie.
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,Wróg
FUEL_FULL,{0} is full,Napełniono: {0}
FUEL_ZERO,{0} ran out of fuel,Brak paliwa: {0}
INVENTORY_SLOT,DRAG ITEMS HERE,PRZECIĄGNIJ TUTAJ PRZEDMIOTY
PROGRESS_FULL,{0} is complete,Zakończono: {0}
PROGRESS_ZERO,{0} ran out of uses,Wyczerpano: {0}
SPOILAGE_FULL,{0} is good as new,Jak nowe: {0}
SPOILAGE_ZERO,{0} spoiled,Zepsute: {0}
USAGE_FULL,{0} is good as new,Jak nowe: {0}
USAGE_ZERO,{0} broke,Zepsuto: {0}
DEMO_OVER,END OF FIRST DAYS,KONIEC WERSJI DEMO (PIERWSZE DNI)
DIFFICULTY_SCORE,Difficulty: {0}pts,Poziom trudności: {0}pkt
DISCARD_ACTION_DESC,Permanently get rid of this object.,Permanentnie pozbądź się tego obiektu.
DISCARD_ACTION_TITLE,Discard,Odrzuć
DISMANTLE_DESC,Collect all items and revert to previous building stage.,Zbierz wszystkie przedmioty i wróć do poprzedniego etapu budowy.
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,Zbierz wszystkie przedmioty i zniszcz budynek.
DO_STACK_ACTION,Do x{0},Akcja x{0}
DURATION,Duration,Czas trwania
EMPTY,Empty,Opróżnij
NO_CHARACTER_BIO,You don't remember anything before the island...,Nie pamiętasz niczego sprzed trafienia na wyspę...
EQUIP_CARD,Equip {0},Załóż: {0}
EQUIPMENT,Equipment,Ekwipunek
EVENT_TITLE,EVENT,WYDARZENIE
EXPLORATION,Exploration,Eksploracja
EXPLORED,Explored,odkryto
EXPLORING,Exploring,Zwiedzanie
FILL_WITH_LIQUID,Fill {0} with {1},Napełnij {0}: {1}
FINISHED_COOKING,{0} finished cooking {1},{0} - koniec gotowania: {1}
FINISHED_COOKING_EMPTY,{0} is ready,{0} jest gotowe
GAME_OVER,GAME OVER,KONIEC GRY
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>-Powyższy tekst jest tymczasowy-</b>
HOLD_FOR_ACTION,Hold for action...,"Przytrzymaj, aby wykonać akcję..."
HOLD,Hold,Przytrzymaj
HOPE_GOOD_TIME,We hope you had a good time!,"Mamy nadzieję, że miło Ci się grało!"
FORMAT_HOURS,0h,0h
HOVER,Hover,Najedź
IMPORT_PORTRAIT,Import Custom Portrait,Importuj własny portret
